,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
21359,25-Mar-19,9:50:00,15,5,23,26,26,28,20,16,15,3,20,16,5,24,13,30,4,10,2,0,0,4,1,28,28,10,7,19,29,6,0,0
21369,25-Mar-19,10:00:00,30,16,23,32,16,26,26,23,20,20,7,32,32,22,9,3,37,28,1,18,6,29,0,28,16,12,15,15,24,7,21,0
21379,25-Mar-19,10:10:00,11,39,13,26,6,25,31,13,16,18,12,10,27,24,10,10,22,19,13,18,16,27,1,20,23,12,17,18,25,9,15,0
21389,25-Mar-19,10:20:00,4,8,21,27,15,20,26,30,26,4,17,0,29,31,11,13,21,27,19,3,23,22,18,12,24,19,26,19,28,16,13,0
21399,25-Mar-19,10:30:00,0,1,6,24,11,16,28,10,15,0,17,0,16,12,1,14,0,17,7,6,7,17,15,1,8,7,9,18,13,32,5,0
21409,25-Mar-19,10:40:00,6,4,7,20,4,6,25,10,22,0,3,0,6,7,0,27,6,31,2,3,19,8,22,22,6,1,13,16,1,15,12,0
21419,25-Mar-19,10:50:00,2,2,0,14,2,4,21,19,15,0,13,0,0,5,0,5,16,0,7,2,0,26,2,10,4,17,0,17,0,3,1,0
21429,25-Mar-19,11:00:00,0,0,1,0,3,2,4,7,13,0,0,0,5,19,0,19,9,3,8,5,0,13,0,3,2,1,0,3,0,3,0,0
21439,25-Mar-19,11:10:00,0,0,0,14,0,9,11,12,16,0,12,0,0,1,0,0,0,16,2,0,0,27,0,6,1,0,0,0,0,0,0,0
21449,25-Mar-19,11:20:00,0,4,0,13,0,1,21,7,3,0,0,0,0,0,0,1,0,17,0,0,0,3,0,23,3,8,0,0,0,0,0,0
21459,25-Mar-19,11:30:00,0,0,0,0,0,1,3,15,0,0,0,0,4,1,0,0,0,2,1,0,0,0,1,0,0,7,1,0,0,0,0,0
21469,25-Mar-19,11:40:00,2,2,0,0,0,0,0,2,0,0,0,0,21,0,0,0,5,4,6,0,0,0,7,0,0,2,6,4,0,0,0,0
21479,25-Mar-19,11:50:00,3,1,0,4,0,0,4,11,1,0,0,0,12,3,0,0,0,0,8,0,0,3,0,0,0,1,0,0,0,0,0,0
21489,25-Mar-19,12:00:00,0,1,0,0,0,2,0,23,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0
21499,25-Mar-19,12:10:00,1,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
21509,25-Mar-19,12:20:00,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
21519,25-Mar-19,12:30:00,2,6,0,10,0,2,10,4,2,4,2,41,4,0,0,0,6,0,2,2,0,6,6,0,4,0,0,15,3,0,46,0
21529,25-Mar-19,12:40:00,12,2,0,3,0,4,24,29,0,0,0,2,5,0,0,0,3,2,11,0,0,24,0,0,2,0,0,30,17,12,0,0
21539,25-Mar-19,12:50:00,0,0,0,0,0,0,16,14,8,0,3,1,7,0,0,0,0,0,0,0,8,40,1,4,0,0,0,11,21,1,0,0
21549,25-Mar-19,13:00:00,0,0,0,0,0,0,9,8,0,0,13,15,3,0,0,0,0,0,2,0,4,10,0,0,3,0,14,20,16,0,0,53
21559,25-Mar-19,13:10:00,0,0,0,0,0,3,11,8,6,0,4,0,2,4,0,10,0,5,6,0,0,15,0,11,0,0,25,6,13,4,0,19
21569,25-Mar-19,13:20:00,0,0,0,20,0,5,15,9,1,7,2,0,12,4,0,2,0,15,0,0,9,20,8,6,13,0,12,5,12,2,0,6
21579,25-Mar-19,13:30:00,0,1,0,5,0,2,5,9,0,0,2,0,2,5,0,35,41,0,3,0,17,21,0,7,2,0,15,10,2,0,0,2
21589,25-Mar-19,13:40:00,0,1,0,7,4,0,1,9,0,0,5,0,3,0,0,21,1,2,0,3,13,6,0,3,0,0,0,1,1,0,0,3
21599,25-Mar-19,13:50:00,6,0,0,5,9,0,0,14,2,0,4,0,3,0,0,2,0,1,0,0,17,0,0,1,4,0,0,1,9,0,0,35
21609,25-Mar-19,14:00:00,4,0,15,1,11,0,0,6,0,0,7,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,4,3,0,3,2
21619,25-Mar-19,14:10:00,1,2,3,0,10,0,0,0,2,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,7
21629,25-Mar-19,14:20:00,7,11,0,0,2,0,0,0,3,0,1,0,0,12,0,1,0,2,0,0,0,0,0,0,23,0,0,0,3,7,0,0
21639,25-Mar-19,14:30:00,1,14,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0
21649,25-Mar-19,14:40:00,0,12,4,0,0,0,0,0,0,0,8,0,0,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
21659,25-Mar-19,14:50:00,0,0,0,0,3,0,0,0,0,0,7,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21669,25-Mar-19,15:00:00,0,0,0,0,0,0,0,0,0,4,0,0,1,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21679,25-Mar-19,15:10:00,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
21689,25-Mar-19,15:20:00,0,0,0,0,0,0,0,0,5,0,12,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21699,25-Mar-19,15:30:00,0,0,0,0,0,0,0,0,0,0,1,31,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21709,25-Mar-19,15:40:00,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21719,25-Mar-19,15:50:00,0,0,0,0,0,0,0,3,0,0,19,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
21729,25-Mar-19,16:00:00,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
21739,25-Mar-19,16:10:00,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0
21749,25-Mar-19,16:20:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0
21759,25-Mar-19,16:30:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
21769,25-Mar-19,16:40:00,2,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,5,0,0,13,0,0,0,0,0,0,0,0,0
21779,25-Mar-19,16:50:00,23,0,0,1,0,0,0,8,0,0,0,0,10,5,0,0,1,0,1,0,0,0,4,17,2,0,5,12,6,0,0,0
21789,25-Mar-19,17:00:00,0,0,0,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,8,1,0,6,3,5,0,0,0
21799,25-Mar-19,17:10:00,3,0,4,13,3,1,8,28,0,0,0,0,4,9,0,1,9,18,9,0,0,0,0,14,6,9,18,2,6,0,0,0
21809,25-Mar-19,17:20:00,19,0,4,2,9,3,7,2,0,1,0,0,0,1,0,0,6,5,0,0,3,0,0,3,11,0,17,0,0,0,0,0
21819,25-Mar-19,17:30:00,0,0,1,5,6,0,0,3,2,4,0,0,8,4,0,0,0,14,0,0,9,0,0,14,6,0,9,0,0,0,0,2
21829,25-Mar-19,17:40:00,0,3,0,10,28,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,15,0,0,0,0,0
21839,25-Mar-19,17:50:00,0,0,0,9,3,2,0,0,0,6,0,7,19,0,0,2,0,0,0,0,0,0,0,14,1,0,5,0,0,0,0,8
21849,25-Mar-19,18:00:00,17,0,26,0,6,0,0,1,1,19,0,5,23,0,0,2,0,16,0,0,0,0,0,21,10,0,16,0,20,0,0,2
21859,25-Mar-19,18:10:00,10,8,5,0,6,0,0,0,0,4,17,0,10,0,0,28,3,4,0,0,2,0,0,2,4,4,4,0,7,0,0,2
21869,25-Mar-19,18:20:00,0,13,1,0,2,0,0,16,2,9,4,0,16,0,0,0,3,1,0,0,14,0,0,4,6,0,0,0,6,0,0,0
21879,25-Mar-19,18:30:00,0,1,4,0,9,0,0,4,2,9,9,5,10,0,0,2,0,0,0,0,9,0,0,0,2,0,2,0,0,0,0,3
21889,25-Mar-19,18:40:00,13,0,4,10,6,0,0,1,0,3,1,3,0,0,0,0,0,5,0,0,0,0,0,0,12,2,5,0,0,0,0,6
21899,25-Mar-19,18:50:00,9,9,4,24,4,1,0,7,0,1,0,0,8,12,0,0,8,18,0,0,0,0,2,0,5,0,11,0,0,0,0,4
21909,25-Mar-19,19:00:00,0,16,4,14,7,0,0,8,0,0,0,0,7,10,0,9,4,13,9,7,6,0,0,3,3,4,3,5,0,0,0,23
21919,25-Mar-19,19:10:00,3,8,6,13,8,0,0,18,0,0,6,10,13,4,0,14,0,0,0,0,15,3,0,19,11,14,0,0,0,5,0,30
21929,25-Mar-19,19:20:00,12,2,2,60,0,2,0,1,0,0,11,46,0,16,4,0,6,0,2,1,1,14,0,0,5,3,11,5,0,1,0,0
21939,25-Mar-19,19:30:00,5,7,21,33,0,0,0,11,0,5,9,0,0,14,7,19,0,8,5,2,34,9,0,0,9,9,9,11,0,0,0,12
21949,25-Mar-19,19:40:00,9,12,11,8,0,1,0,9,0,22,9,10,0,10,9,14,4,6,14,3,5,6,0,0,20,35,2,4,5,0,0,1
21959,25-Mar-19,19:50:00,6,2,6,15,1,1,0,9,0,8,12,7,14,12,4,3,5,14,0,0,9,17,6,0,16,8,4,16,12,0,0,10
21969,25-Mar-19,20:00:00,13,8,4,5,0,4,0,8,2,1,14,4,9,0,9,1,7,9,3,2,2,0,10,0,14,0,14,13,19,0,0,3
21979,25-Mar-19,20:10:00,15,6,13,17,0,10,0,13,3,4,10,10,6,7,6,3,9,11,9,0,4,0,15,0,15,19,2,7,24,4,17,63
21989,25-Mar-19,20:20:00,9,4,8,21,17,12,12,8,3,13,7,8,2,5,19,0,2,13,16,5,17,1,2,0,14,28,6,11,20,0,11,8
21999,25-Mar-19,20:30:00,17,2,7,14,4,14,20,15,5,7,10,5,8,5,10,0,9,5,7,19,4,8,8,36,16,20,2,15,40,13,19,8
22009,25-Mar-19,20:40:00,15,15,10,18,8,6,22,4,0,13,10,10,10,2,65,51,12,6,12,34,20,13,12,16,13,10,13,13,20,7,15,13
22019,25-Mar-19,20:50:00,17,9,14,17,8,10,15,14,6,15,8,19,13,3,24,13,4,13,4,29,13,16,21,4,13,14,24,13,15,18,32,8
22029,25-Mar-19,21:00:00,13,11,6,16,12,14,16,12,9,13,9,13,18,10,14,28,10,8,8,30,13,15,12,13,15,23,14,14,39,13,18,21
22039,25-Mar-19,21:10:00,17,5,11,16,10,7,19,46,4,16,8,20,19,12,13,28,8,14,8,29,11,24,16,19,17,16,9,9,24,15,12,12
22049,25-Mar-19,21:20:00,13,10,11,16,12,12,14,27,5,18,1,8,16,14,11,23,13,9,8,29,17,16,11,31,16,14,15,11,12,11,18,16
22059,25-Mar-19,21:30:00,15,11,16,15,20,12,14,34,8,23,21,12,14,14,16,30,15,12,9,35,14,20,6,22,22,20,10,11,29,28,16,36
22069,25-Mar-19,21:40:00,22,11,16,29,17,14,16,13,8,13,11,14,19,15,13,31,15,24,8,32,12,42,12,20,22,12,13,17,18,15,17,20
22079,25-Mar-19,21:50:00,15,4,17,29,18,14,21,15,10,20,21,20,14,19,15,20,12,8,13,27,19,14,15,15,24,19,12,14,22,16,19,13
22089,25-Mar-19,22:00:00,27,16,14,28,19,24,25,26,11,28,29,27,31,23,24,21,12,32,16,44,18,22,23,16,28,36,20,18,30,22,33,15
22099,25-Mar-19,22:10:00,19,20,22,44,23,19,10,27,6,30,5,47,31,18,19,2,48,34,4,16,4,17,11,18,25,21,16,11,22,3,22,14
22109,25-Mar-19,22:20:00,16,3,1,31,0,6,4,7,3,5,11,9,23,4,17,0,4,4,0,0,0,15,0,3,20,14,0,2,5,0,3,0
22119,25-Mar-19,22:30:00,5,0,0,17,2,0,0,2,0,0,0,2,13,0,4,2,0,13,2,0,0,2,0,0,9,1,0,0,2,0,0,0
22129,25-Mar-19,22:40:00,1,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0
