,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
93931,29-Sep-21,17:20:00,9,10,1,4,14,4,4,2,12,20,4,8,6,9,0,8,6,2,5,8,20,1,7,4,13,11,6,0,7,6,13,8
93941,29-Sep-21,17:30:00,4,12,7,7,11,11,4,1,8,4,4,4,4,8,4,8,4,3,14,9,9,10,4,2,4,12,11,4,9,1,14,13
93951,29-Sep-21,17:40:00,8,3,8,2,15,2,4,5,11,10,5,3,9,10,5,5,2,12,13,18,11,1,13,9,15,18,6,6,3,6,16,14
93961,29-Sep-21,17:50:00,8,4,11,3,26,2,3,2,11,5,6,5,5,6,3,8,10,6,8,17,14,5,4,5,6,32,12,4,4,7,19,16
93971,29-Sep-21,18:00:00,3,6,4,2,18,7,6,2,20,10,3,4,5,9,0,5,7,1,10,11,13,0,7,7,2,13,5,0,7,7,13,8
93981,29-Sep-21,18:10:00,4,6,6,3,15,5,2,0,10,11,3,2,4,12,8,8,3,11,10,14,15,7,6,5,5,11,6,4,0,38,12,3
93991,29-Sep-21,18:20:00,3,5,1,2,16,2,7,4,23,7,5,1,6,9,2,7,4,7,11,5,11,6,9,0,5,14,2,3,5,2,13,7
94001,29-Sep-21,18:30:00,11,2,4,14,12,3,2,2,11,4,4,11,6,10,4,4,3,5,8,15,11,5,6,11,7,16,12,5,11,5,15,6
94011,29-Sep-21,18:40:00,5,8,4,0,11,5,2,4,9,12,4,1,3,6,3,8,5,3,24,4,10,0,3,4,10,19,6,2,5,20,13,12
94021,29-Sep-21,18:50:00,4,4,2,4,13,3,4,4,15,5,10,4,5,4,2,15,6,12,12,10,12,4,3,1,12,6,5,1,8,3,19,3
94031,29-Sep-21,19:00:00,11,7,3,14,17,7,6,1,16,10,4,3,4,4,6,4,5,20,13,9,9,5,4,0,10,12,8,4,6,5,12,7
94041,29-Sep-21,19:10:00,7,13,4,5,17,4,2,3,13,4,4,3,0,7,3,5,5,15,5,12,8,4,1,3,21,13,6,1,7,2,12,7
94051,29-Sep-21,19:20:00,6,5,4,3,17,4,4,3,10,7,7,3,5,5,0,8,6,12,17,10,9,3,8,8,8,14,14,4,3,14,17,6
94061,29-Sep-21,19:30:00,9,8,10,1,14,3,4,4,16,6,3,5,1,6,0,10,4,6,13,8,14,8,2,1,6,19,4,4,4,3,18,5
