,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
21359,25-Mar-19,9:50:00,0,32,35,13,18,6,22,22,2,29,0,0,7,23,24,3,29,22,15,25,22,36,18,5,6,0,6,0,8,0,17,4
21369,25-Mar-19,10:00:00,0,24,35,10,19,24,30,26,8,16,22,4,11,22,35,21,47,21,28,34,20,50,27,30,33,19,6,22,11,6,9,22
21379,25-Mar-19,10:10:00,0,31,22,0,16,26,28,25,4,18,32,11,20,24,32,22,30,15,17,21,17,20,11,22,32,16,2,17,6,12,1,31
21389,25-Mar-19,10:20:00,0,24,30,0,8,20,32,24,2,12,22,9,10,12,18,16,27,12,23,34,12,22,5,14,30,13,0,7,13,1,0,20
21399,25-Mar-19,10:30:00,0,17,15,12,4,11,2,32,0,11,14,1,0,22,21,4,26,10,15,15,11,22,2,20,23,9,0,0,16,1,0,13
21409,25-Mar-19,10:40:00,0,17,26,1,6,11,0,13,0,14,21,0,0,16,7,2,15,2,20,7,1,22,1,14,16,1,0,0,0,1,0,4
21419,25-Mar-19,10:50:00,0,26,19,0,2,4,3,19,0,18,20,0,0,4,36,0,29,0,23,1,2,0,2,3,14,1,0,11,0,0,0,0
21429,25-Mar-19,11:00:00,0,8,15,0,4,16,17,3,0,4,5,0,0,4,5,8,1,0,5,3,5,5,0,1,8,0,0,0,8,0,0,0
21439,25-Mar-19,11:10:00,0,3,12,0,2,0,16,6,0,14,15,0,0,0,20,3,0,0,2,0,13,8,0,3,0,0,0,0,5,3,0,0
21449,25-Mar-19,11:20:00,0,1,2,0,0,9,18,3,0,0,13,0,0,0,10,0,0,0,4,0,0,0,2,0,10,0,0,0,0,0,0,0
21459,25-Mar-19,11:30:00,0,0,7,0,0,0,3,12,0,0,0,0,0,0,6,0,0,0,10,4,5,9,0,0,7,0,0,0,2,1,0,0
21469,25-Mar-19,11:40:00,0,14,0,0,0,0,0,5,0,0,8,27,2,0,0,11,0,0,5,3,12,11,0,0,1,1,0,0,0,0,0,3
21479,25-Mar-19,11:50:00,0,3,0,3,0,0,0,1,0,0,5,0,0,0,6,4,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0
21489,25-Mar-19,12:00:00,0,1,0,0,0,1,0,1,0,5,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1
21499,25-Mar-19,12:10:00,0,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
21509,25-Mar-19,12:20:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21519,25-Mar-19,12:30:00,0,6,5,9,0,2,20,14,2,0,2,5,22,6,9,8,21,4,4,8,2,11,6,0,0,0,11,0,0,10,23,2
21529,25-Mar-19,12:40:00,0,40,17,3,7,0,11,22,0,0,0,0,32,2,10,21,2,13,1,10,0,8,6,0,0,0,8,0,0,12,29,12
21539,25-Mar-19,12:50:00,0,24,24,2,6,0,10,35,73,0,0,0,39,0,9,8,0,16,6,1,0,0,0,0,0,5,21,0,0,7,16,39
21549,25-Mar-19,13:00:00,0,13,16,0,4,0,7,26,3,0,0,0,15,16,54,7,10,14,4,0,0,3,0,10,0,2,36,0,0,14,3,26
21559,25-Mar-19,13:10:00,0,24,0,10,12,0,0,24,64,0,0,0,15,22,0,2,33,26,14,5,0,3,0,2,0,0,11,0,0,12,3,17
21569,25-Mar-19,13:20:00,0,18,15,4,4,0,0,11,13,0,0,0,19,2,0,25,4,13,16,2,1,1,0,1,8,0,19,0,0,0,10,0
21579,25-Mar-19,13:30:00,0,29,4,7,0,0,6,14,2,14,0,0,19,5,0,12,17,0,5,1,17,5,2,0,4,6,18,0,0,20,0,0
21589,25-Mar-19,13:40:00,0,8,4,0,0,1,7,0,0,7,1,0,4,0,0,1,11,7,1,2,0,11,0,2,0,2,2,0,0,25,0,0
21599,25-Mar-19,13:50:00,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,16,0,4,0,0,2,2,5,1,0,0,0,0,0,0
21609,25-Mar-19,14:00:00,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,9,0,1,6,4,0,0,2,0,8,0,0,0,10,0,0,0
21619,25-Mar-19,14:10:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
21629,25-Mar-19,14:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
21639,25-Mar-19,14:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
21649,25-Mar-19,14:40:00,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21659,25-Mar-19,14:50:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
21669,25-Mar-19,15:00:00,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
21679,25-Mar-19,15:10:00,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21689,25-Mar-19,15:20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21699,25-Mar-19,15:30:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21709,25-Mar-19,15:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21719,25-Mar-19,15:50:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21729,25-Mar-19,16:00:00,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21739,25-Mar-19,16:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
21749,25-Mar-19,16:20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21759,25-Mar-19,16:30:00,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21769,25-Mar-19,16:40:00,0,0,0,4,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21779,25-Mar-19,16:50:00,0,7,0,4,0,6,1,0,0,0,0,0,21,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
21789,25-Mar-19,17:00:00,0,5,5,26,0,0,13,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,16,0
21799,25-Mar-19,17:10:00,0,20,4,2,18,0,44,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0
21809,25-Mar-19,17:20:00,0,0,8,0,1,3,6,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21819,25-Mar-19,17:30:00,0,10,7,7,11,0,10,0,0,0,0,3,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
21829,25-Mar-19,17:40:00,0,10,11,5,0,0,2,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21839,25-Mar-19,17:50:00,0,15,7,2,0,3,0,0,0,0,0,5,4,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
21849,25-Mar-19,18:00:00,0,6,8,3,8,0,19,0,0,0,0,0,2,2,0,0,1,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0
21859,25-Mar-19,18:10:00,0,16,3,0,10,0,15,6,0,0,0,0,0,0,0,0,6,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0
21869,25-Mar-19,18:20:00,0,23,2,0,2,0,10,0,0,0,0,22,0,0,0,0,12,0,11,0,6,0,0,0,0,0,3,0,0,0,0,0
21879,25-Mar-19,18:30:00,0,7,5,0,6,5,6,0,0,0,0,0,0,0,0,0,15,0,1,0,6,0,0,2,0,0,14,0,8,0,0,0
21889,25-Mar-19,18:40:00,0,2,10,8,9,0,10,15,0,0,0,0,0,0,2,0,50,0,0,0,6,0,1,3,3,0,0,0,8,0,8,0
21899,25-Mar-19,18:50:00,0,3,7,0,9,0,0,17,0,0,0,0,0,0,0,0,23,0,2,0,4,0,0,0,2,0,5,0,0,0,0,0
21909,25-Mar-19,19:00:00,0,3,5,0,9,0,0,8,0,0,0,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,3,0,0,0,5,0
21919,25-Mar-19,19:10:00,0,7,5,0,2,1,0,13,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0
21929,25-Mar-19,19:20:00,0,13,1,0,3,5,0,10,0,0,5,0,0,0,0,0,17,0,5,0,10,0,0,5,2,0,0,0,0,0,13,0
21939,25-Mar-19,19:30:00,0,2,6,0,2,0,0,6,0,0,13,0,0,0,2,0,24,0,0,3,13,6,0,12,18,0,0,0,0,0,0,0
21949,25-Mar-19,19:40:00,0,13,7,0,20,0,9,17,0,0,8,0,0,5,0,0,16,4,9,8,0,0,0,8,4,0,0,0,0,0,4,0
21959,25-Mar-19,19:50:00,0,14,4,0,11,2,22,11,0,0,17,2,0,47,0,0,26,22,6,16,0,0,0,6,8,0,7,0,0,1,0,0
21969,25-Mar-19,20:00:00,0,25,8,12,6,20,2,16,0,0,9,2,0,19,2,0,29,0,3,24,0,15,0,9,9,0,9,2,0,6,0,6
21979,25-Mar-19,20:10:00,0,16,9,11,21,19,19,12,64,5,12,29,0,7,1,5,19,14,9,16,9,11,1,35,12,0,28,0,10,8,10,0
21989,25-Mar-19,20:20:00,0,13,5,27,14,10,14,11,6,3,8,28,6,22,0,5,21,20,12,10,5,16,12,11,13,0,25,0,19,11,16,0
21999,25-Mar-19,20:30:00,0,14,17,13,7,14,9,21,29,4,6,21,16,19,1,13,23,21,11,22,17,19,6,6,12,0,12,0,11,17,25,0
22009,25-Mar-19,20:40:00,0,10,15,11,11,12,11,19,14,9,14,15,16,15,4,18,34,16,11,16,12,20,7,10,11,1,12,0,15,19,15,0
22019,25-Mar-19,20:50:00,0,20,18,7,19,16,11,23,6,13,19,3,11,13,19,15,36,65,8,14,12,22,17,23,13,4,16,0,23,16,20,9
22029,25-Mar-19,21:00:00,0,17,10,13,11,17,18,13,14,6,6,2,13,10,17,19,27,13,13,16,11,12,21,14,27,2,18,0,16,23,20,21
22039,25-Mar-19,21:10:00,0,14,23,17,15,16,14,14,18,8,8,6,10,19,20,19,33,16,10,18,21,17,28,15,17,9,16,0,9,20,18,20
22049,25-Mar-19,21:20:00,0,19,23,11,10,15,19,20,20,14,12,24,11,20,10,10,34,17,17,13,22,23,20,17,20,15,17,0,12,18,20,19
22059,25-Mar-19,21:30:00,0,19,16,12,13,15,36,20,20,11,16,20,16,14,29,15,32,16,9,23,13,20,21,23,19,20,12,0,13,22,24,22
22069,25-Mar-19,21:40:00,0,22,18,14,12,13,17,21,21,11,20,25,24,20,11,29,31,16,13,21,13,16,25,20,22,35,18,18,5,20,26,22
22079,25-Mar-19,21:50:00,0,24,23,30,17,18,28,53,18,6,9,24,14,18,21,19,32,16,20,21,17,20,24,22,18,15,17,12,14,18,13,22
22089,25-Mar-19,22:00:00,0,32,35,19,16,19,44,35,27,12,24,25,22,28,19,30,37,35,23,24,26,35,35,25,34,22,18,27,17,17,22,28
22099,25-Mar-19,22:10:00,0,27,48,8,11,9,25,19,25,9,25,18,3,11,35,21,22,20,22,19,15,32,41,29,12,29,23,6,14,7,12,25
22109,25-Mar-19,22:20:00,0,10,28,0,11,0,20,15,11,3,10,2,4,5,10,10,5,4,8,19,0,8,25,10,6,3,4,0,1,0,0,7
22119,25-Mar-19,22:30:00,0,10,24,0,0,0,0,9,6,6,10,0,0,0,10,0,6,0,10,19,0,0,22,4,2,4,4,0,0,0,0,2
22129,25-Mar-19,22:40:00,0,19,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,0,2,4,13,0,4,1,0,0,0,0,0
22139,25-Mar-19,22:50:00,0,4,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
22149,25-Mar-19,23:00:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
22159,25-Mar-19,23:10:00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
22169,25-Mar-19,23:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22179,25-Mar-19,23:30:00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22189,25-Mar-19,23:40:00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
22199,25-Mar-19,23:50:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22209,26-Mar-19,0:00:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
22219,26-Mar-19,0:10:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
22229,26-Mar-19,0:20:00,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22239,26-Mar-19,0:30:00,0,0,0,0,0,0,0,14,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0
22249,26-Mar-19,0:40:00,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,1
22259,26-Mar-19,0:50:00,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,5,2,0,0,0
22269,26-Mar-19,1:00:00,0,1,2,0,0,0,2,0,0,10,0,0,0,0,0,0,23,0,4,0,4,0,1,4,0,0,0,3,0,0,0,0
22279,26-Mar-19,1:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,1,0,0,4,0,2,0,0,0,0,0,0,0,0
22289,26-Mar-19,1:20:00,0,0,0,0,0,0,0,0,0,19,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
22299,26-Mar-19,1:30:00,0,0,0,9,0,0,0,0,0,18,0,0,2,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
22309,26-Mar-19,1:40:00,0,0,11,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
22319,26-Mar-19,1:50:00,0,1,4,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,24,1,0,0,3,3,0,0,0,0,0
22329,26-Mar-19,2:00:00,0,0,2,2,0,0,8,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0
22339,26-Mar-19,2:10:00,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0
22349,26-Mar-19,2:20:00,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,4,0,0,0,2,6,0,0,4
22359,26-Mar-19,2:30:00,0,17,0,3,0,0,5,0,0,0,14,0,0,0,0,2,21,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0
22369,26-Mar-19,2:40:00,0,3,11,1,0,0,35,2,0,12,16,8,0,0,0,2,31,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
22379,26-Mar-19,2:50:00,0,0,7,1,0,0,0,2,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
22389,26-Mar-19,3:00:00,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22399,26-Mar-19,3:10:00,0,0,8,3,0,0,18,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22409,26-Mar-19,3:20:00,0,5,0,2,4,0,20,0,0,3,4,0,0,2,2,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0
22419,26-Mar-19,3:30:00,0,0,7,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,2,3,4,0,0,0,0,0
22429,26-Mar-19,3:40:00,0,3,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,1,3,0,0,0,1,0
22439,26-Mar-19,3:50:00,0,0,7,14,0,0,7,0,0,12,1,0,0,0,0,3,0,0,4,0,0,0,16,0,0,3,0,0,0,0,0,0
22449,26-Mar-19,4:00:00,0,8,0,7,0,0,2,0,0,0,6,0,0,3,0,8,0,0,12,0,0,0,4,0,2,0,0,0,0,0,0,0
22459,26-Mar-19,4:10:00,0,3,0,9,0,0,0,0,0,6,2,0,0,2,2,4,12,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
22469,26-Mar-19,4:20:00,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0
22479,26-Mar-19,4:30:00,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4
22489,26-Mar-19,4:40:00,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,11
22499,26-Mar-19,4:50:00,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,5,0,9,0,0,0,0,4,0,0,12
22509,26-Mar-19,5:00:00,0,0,7,0,7,0,0,4,0,0,0,0,0,0,0,3,0,30,0,0,0,1,0,4,0,0,0,0,5,9,0,0
22519,26-Mar-19,5:10:00,0,0,0,0,0,0,4,2,2,0,10,0,0,0,4,2,0,23,16,0,0,0,0,0,5,0,2,0,0,0,0,0
22529,26-Mar-19,5:20:00,0,0,0,9,0,0,20,0,0,4,1,0,0,0,0,4,1,21,7,0,0,0,0,0,1,1,2,0,0,0,0,0
22539,26-Mar-19,5:30:00,0,3,0,6,0,0,6,0,0,8,8,0,2,3,0,0,9,7,0,0,0,2,0,0,17,0,0,0,0,0,0,0
22549,26-Mar-19,5:40:00,0,0,0,0,0,0,10,2,0,7,6,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,0,0,0,0
22559,26-Mar-19,5:50:00,0,0,0,0,0,0,13,11,0,10,12,0,0,16,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,0,4,0
22569,26-Mar-19,6:00:00,0,0,0,7,0,0,2,0,0,9,5,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,0,0,0,0
22579,26-Mar-19,6:10:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,1,2,0,0,0,2,0,4,0,0,0
22589,26-Mar-19,6:20:00,0,0,0,0,0,0,0,0,0,5,0,1,0,0,26,0,29,0,0,0,0,1,1,0,0,0,1,0,8,0,0,8
22599,26-Mar-19,6:30:00,0,0,16,0,0,0,0,3,2,5,0,6,1,0,6,1,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,6
22609,26-Mar-19,6:40:00,0,0,2,1,0,0,0,15,0,0,0,14,0,0,0,0,0,20,12,0,0,6,0,0,7,0,0,0,0,0,0,0
22619,26-Mar-19,6:50:00,0,0,0,0,0,0,2,32,2,11,0,0,0,7,1,0,0,19,11,0,0,5,0,10,0,0,0,0,0,0,0,0
22629,26-Mar-19,7:00:00,0,17,0,0,16,0,15,10,0,0,0,0,0,17,1,0,3,20,2,4,0,0,0,3,2,2,5,0,17,0,0,0
22639,26-Mar-19,7:10:00,0,2,2,0,8,0,3,0,0,0,0,2,0,1,0,0,6,19,0,4,0,1,0,0,10,0,6,1,0,0,0,23
22649,26-Mar-19,7:20:00,0,5,0,23,0,2,0,10,0,0,0,0,0,5,0,0,0,6,0,0,0,2,0,1,1,0,3,4,0,0,0,19
22659,26-Mar-19,7:30:00,0,4,0,3,0,0,13,29,0,0,10,0,0,4,0,0,0,0,10,0,0,13,0,4,1,0,7,2,6,0,0,0
22669,26-Mar-19,7:40:00,0,0,0,0,0,0,0,5,0,18,20,0,0,0,16,4,0,13,1,0,0,22,0,0,15,52,17,3,0,0,0,0
22679,26-Mar-19,7:50:00,0,20,0,0,0,0,0,0,0,0,17,0,0,0,9,5,13,12,2,0,5,0,0,2,32,2,43,4,0,0,0,0
22689,26-Mar-19,8:00:00,0,36,9,0,16,0,0,0,0,0,13,0,0,0,0,7,6,20,0,0,0,0,4,0,7,0,3,0,0,0,0,0
22699,26-Mar-19,8:10:00,0,22,12,0,0,0,0,4,0,0,1,0,3,24,17,2,0,6,0,0,0,0,19,0,73,19,4,0,0,0,0,0
22709,26-Mar-19,8:20:00,0,0,5,0,0,0,0,7,0,0,1,0,0,11,0,0,0,0,0,0,0,0,4,0,4,0,3,4,0,0,0,0
22719,26-Mar-19,8:30:00,0,1,16,0,0,0,0,1,0,0,7,0,7,26,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0
22729,26-Mar-19,8:40:00,0,0,0,0,0,0,0,12,4,6,9,0,0,17,0,17,0,0,0,0,0,0,1,0,2,0,0,4,0,0,3,0
22739,26-Mar-19,8:50:00,0,6,2,0,0,0,0,2,3,2,4,0,4,5,3,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,9,0
22749,26-Mar-19,9:00:00,0,22,4,7,0,0,0,19,0,0,0,0,4,12,0,0,0,27,0,0,0,0,1,10,0,1,3,2,3,0,3,0
22759,26-Mar-19,9:10:00,0,2,8,7,0,0,24,26,0,0,0,0,1,10,0,0,13,18,0,0,0,17,4,0,19,3,3,0,16,0,0,0
22769,26-Mar-19,9:20:00,0,12,14,0,1,0,25,0,0,0,0,0,4,10,0,17,15,21,11,0,3,28,20,0,4,8,13,2,6,0,0,0
22779,26-Mar-19,9:30:00,0,24,10,5,4,0,15,19,5,1,7,0,0,4,0,9,30,42,23,6,0,25,17,26,10,3,2,0,0,2,0,8
22789,26-Mar-19,9:40:00,0,0,5,5,0,0,6,21,3,2,12,21,0,6,3,18,9,51,13,0,0,10,15,12,4,3,6,14,0,8,2,16
22799,26-Mar-19,9:50:00,0,0,18,0,0,0,16,16,0,9,8,12,2,12,18,6,21,44,13,0,18,7,6,34,7,5,9,4,0,6,9,14
