11:00:00,25
11:10:00,26
11:20:00,31
11:30:00,43
11:40:00,16
11:50:00,16
12:00:00,18
12:10:00,26
12:20:00,13
12:30:00,16
12:40:00,22
12:50:00,16
13:00:00,17
13:10:00,9
13:20:00,14
13:30:00,21
13:40:00,20
13:50:00,19
14:00:00,9
14:10:00,17
14:20:00,9
14:30:00,8
14:40:00,11
14:50:00,7
15:00:00,4
15:10:00,6
15:20:00,5
15:30:00,13
15:40:00,6
15:50:00,10
16:00:00,13
16:10:00,8
16:20:00,8
16:30:00,6
16:40:00,10
16:50:00,5
17:00:00,10
17:10:00,7
17:20:00,9
17:30:00,4
17:40:00,8
17:50:00,8
18:00:00,3
18:10:00,4
18:20:00,3
18:30:00,11
18:40:00,5
18:50:00,4
19:00:00,11
19:10:00,7
19:20:00,6
19:30:00,9
19:40:00,5
19:50:00,6
20:00:00,8
20:10:00,9
20:20:00,9
20:30:00,6
20:40:00,10
20:50:00,6
21:00:00,6
21:10:00,5
21:20:00,7
21:30:00,6
21:40:00,6
21:50:00,21
22:00:00,8
22:10:00,6
22:20:00,8
22:30:00,5
22:40:00,7
22:50:00,10
23:00:00,5
23:10:00,12
23:20:00,5
23:30:00,7
23:40:00,14
23:50:00,24
0:00:00,28
0:10:00,12
0:20:00,11
0:30:00,7
0:40:00,9
0:50:00,7
1:00:00,9
1:10:00,7
1:20:00,3
1:30:00,8
1:40:00,11
1:50:00,19
2:00:00,8
2:10:00,4
2:20:00,4
2:30:00,3
2:40:00,11
2:50:00,9
3:00:00,3
3:10:00,8
3:20:00,11
3:30:00,4
3:40:00,8
3:50:00,10
4:00:00,10
4:10:00,15
4:20:00,10
4:30:00,11
4:40:00,8
4:50:00,4
