Time,Fly Activity
11:00:00,30
11:10:00,42
11:20:00,38
11:30:00,42
11:40:00,36
11:50:00,34
12:00:00,33
12:10:00,24
12:20:00,24
12:30:00,13
12:40:00,17
12:50:00,17
13:00:00,20
13:10:00,20
13:20:00,16
13:30:00,15
13:40:00,17
13:50:00,18
14:00:00,22
14:10:00,16
14:20:00,17
14:30:00,17
14:40:00,16
14:50:00,16
15:00:00,13
15:10:00,15
15:20:00,12
15:30:00,16
15:40:00,25
15:50:00,48
16:00:00,37
16:10:00,21
16:20:00,33
16:30:00,16
16:40:00,15
16:50:00,19
17:00:00,17
17:10:00,25
17:20:00,14
17:30:00,11
17:40:00,15
17:50:00,26
18:00:00,18
18:10:00,15
18:20:00,16
18:30:00,12
18:40:00,11
18:50:00,13
19:00:00,17
19:10:00,17
19:20:00,17
19:30:00,14
19:40:00,15
19:50:00,17
20:00:00,13
20:10:00,12
20:20:00,13
20:30:00,13
20:40:00,12
20:50:00,12
21:00:00,9
21:10:00,25
21:20:00,13
21:30:00,19
21:40:00,12
21:50:00,12
22:00:00,7
22:10:00,13
22:20:00,12
22:30:00,16
22:40:00,16
22:50:00,14
23:00:00,18
23:10:00,16
23:20:00,16
23:30:00,24
23:40:00,28
23:50:00,45
0:00:00,54
0:10:00,42
0:20:00,34
0:30:00,44
0:40:00,34
0:50:00,40
1:00:00,28
1:10:00,38
1:20:00,38
1:30:00,40
1:40:00,36
1:50:00,29
2:00:00,31
2:10:00,27
2:20:00,29
2:30:00,31
2:40:00,27
2:50:00,29
3:00:00,27
3:10:00,27
3:20:00,31
3:30:00,36
3:40:00,29
3:50:00,25
4:00:00,20
4:10:00,34
4:20:00,36
4:30:00,33
4:40:00,37
4:50:00,33
5:00:00,34
5:10:00,37
5:20:00,33
5:30:00,31
5:40:00,28
5:50:00,32
6:00:00,31
6:10:00,32
6:20:00,36
6:30:00,35
6:40:00,32
6:50:00,44
7:00:00,30
7:10:00,37
7:20:00,37
7:30:00,34
7:40:00,34
7:50:00,41
8:00:00,32
8:10:00,37
8:20:00,38
8:30:00,39
8:40:00,33
8:50:00,37
9:00:00,35
9:10:00,45
9:20:00,52
9:30:00,32
9:40:00,42
9:50:00,45
10:00:00,47
10:10:00,43
10:20:00,45
10:30:00,35
10:40:00,44
10:50:00,54
11:00:00,46
11:10:00,43
11:20:00,53
11:30:00,49
11:40:00,21
11:50:00,25
12:00:00,40
12:10:00,36
12:20:00,46
12:30:00,42
12:40:00,18
12:50:00,19
13:00:00,19
13:10:00,3
13:20:00,10
13:30:00,5
13:40:00,10
13:50:00,13
14:00:00,0
14:10:00,15
14:20:00,5
14:30:00,7
14:40:00,1
14:50:00,0
15:00:00,0
15:10:00,0
15:20:00,4
15:30:00,9
15:40:00,1
15:50:00,0
16:00:00,6
16:10:00,3
16:20:00,9
16:30:00,4
16:40:00,1
16:50:00,3
17:00:00,23
17:10:00,4
17:20:00,0
17:30:00,0
17:40:00,0
17:50:00,5
18:00:00,0
18:10:00,0
18:20:00,0
18:30:00,0
18:40:00,23
18:50:00,5
19:00:00,0
19:10:00,5
19:20:00,55
19:30:00,9
19:40:00,25
19:50:00,11
20:00:00,10
20:10:00,1
20:20:00,9
20:30:00,0
20:40:00,5
20:50:00,9
21:00:00,8
21:10:00,1
21:20:00,10
21:30:00,4
21:40:00,0
21:50:00,0
22:00:00,4
22:10:00,48
22:20:00,1
22:30:00,0
22:40:00,2
22:50:00,38
23:00:00,3
23:10:00,8
23:20:00,0
23:30:00,3
23:40:00,4
23:50:00,8
0:00:00,20
0:10:00,3
0:20:00,6
0:30:00,4
0:40:00,1
0:50:00,6
1:00:00,2
1:10:00,4
1:20:00,15
1:30:00,4
1:40:00,1
1:50:00,0
2:00:00,0
2:10:00,0
2:20:00,1
2:30:00,1
2:40:00,0
2:50:00,0
3:00:00,0
3:10:00,4
3:20:00,11
3:30:00,7
3:40:00,2
3:50:00,0
4:00:00,0
4:10:00,1
4:20:00,3
4:30:00,0
4:40:00,0
4:50:00,0
5:00:00,0
5:10:00,0
5:20:00,7
5:30:00,2
5:40:00,8
5:50:00,7
6:00:00,0
6:10:00,4
6:20:00,0
6:30:00,0
6:40:00,3
6:50:00,0
7:00:00,0
7:10:00,10
7:20:00,0
7:30:00,20
7:40:00,6
7:50:00,4
8:00:00,0
8:10:00,35
8:20:00,5
8:30:00,0
8:40:00,1
8:50:00,2
9:00:00,2
9:10:00,0
9:20:00,5
9:30:00,0
9:40:00,1
9:50:00,1
10:00:00,0
10:10:00,3
10:20:00,0
10:30:00,6
10:40:00,9
10:50:00,0
11:00:00,16
11:10:00,11
11:20:00,0
11:30:00,0
11:40:00,4
11:50:00,1
12:00:00,0
12:10:00,4
12:20:00,0
12:30:00,8
12:40:00,4
12:50:00,0
13:00:00,0
13:10:00,0
13:20:00,1
13:30:00,0
13:40:00,26
13:50:00,11
14:00:00,0
14:10:00,0
14:20:00,1
14:30:00,0
14:40:00,0
14:50:00,0
15:00:00,1
15:10:00,17
15:20:00,0
15:30:00,0
15:40:00,0
15:50:00,0
16:00:00,0
16:10:00,0
16:20:00,0
16:30:00,0
16:40:00,0
16:50:00,0
17:00:00,0
17:10:00,60
17:20:00,0
17:30:00,0
17:40:00,0
17:50:00,0
18:00:00,0
18:10:00,0
18:20:00,0
18:30:00,0
18:40:00,0
18:50:00,15
19:00:00,3
19:10:00,0
19:20:00,0
19:30:00,0
19:40:00,0
19:50:00,0
20:00:00,10
20:10:00,10
20:20:00,18
20:30:00,6
20:40:00,2
20:50:00,28
21:00:00,5
21:10:00,5
21:20:00,4
21:30:00,1
21:40:00,0
21:50:00,1
22:00:00,1
22:10:00,0
22:20:00,0
22:30:00,0
22:40:00,0
22:50:00,0
23:00:00,47
23:10:00,3
23:20:00,46
23:30:00,7
23:40:00,9
23:50:00,13
0:00:00,12
0:10:00,10
0:20:00,2
0:30:00,30
0:40:00,41
0:50:00,19
1:00:00,9
1:10:00,12
1:20:00,6
1:30:00,17
1:40:00,10
1:50:00,2
2:00:00,0
2:10:00,5
2:20:00,0
2:30:00,48
2:40:00,39
2:50:00,0
3:00:00,0
3:10:00,0
3:20:00,0
3:30:00,0
3:40:00,0
3:50:00,0
4:00:00,0
4:10:00,0
4:20:00,0
4:30:00,0
4:40:00,0
4:50:00,0
5:00:00,0
5:10:00,0
5:20:00,0
5:30:00,0
5:40:00,0
5:50:00,0
6:00:00,0
6:10:00,0
6:20:00,0
6:30:00,0
6:40:00,0
6:50:00,0
7:00:00,0
7:10:00,0
7:20:00,0
7:30:00,0
7:40:00,0
7:50:00,0
8:00:00,0
8:10:00,0
8:20:00,0
8:30:00,0
8:40:00,0
8:50:00,0
9:00:00,0
9:10:00,0
9:20:00,0
9:30:00,0
9:40:00,0
9:50:00,0
10:00:00,0
10:10:00,0
10:20:00,0
10:30:00,0
10:40:00,0
10:50:00,0
11:00:00,0
11:10:00,0
11:20:00,0
11:30:00,0
11:40:00,0
11:50:00,0
12:00:00,0
12:10:00,0
12:20:00,0
12:30:00,0
12:40:00,0
12:50:00,0
13:00:00,0
13:10:00,0
13:20:00,0
13:30:00,0
13:40:00,0
13:50:00,0
14:00:00,0
14:10:00,0
14:20:00,0
14:30:00,0
14:40:00,0
14:50:00,0
15:00:00,0
15:10:00,0
15:20:00,0
15:30:00,0
15:40:00,0
15:50:00,0
16:00:00,0
16:10:00,0
16:20:00,0
16:30:00,0
16:40:00,0
16:50:00,0
17:00:00,0
17:10:00,0
17:20:00,0
17:30:00,0
17:40:00,0
17:50:00,0
18:00:00,0
18:10:00,0
18:20:00,0
18:30:00,0
18:40:00,0
18:50:00,0
19:00:00,0
19:10:00,0
19:20:00,0
19:30:00,0
19:40:00,0
19:50:00,0
20:00:00,0
20:10:00,0
20:20:00,0
20:30:00,0
20:40:00,0
20:50:00,0
21:00:00,0
21:10:00,0
21:20:00,0
21:30:00,0
21:40:00,0
21:50:00,0
22:00:00,0
22:10:00,0
22:20:00,0
22:30:00,0
22:40:00,0
22:50:00,0
23:00:00,0
23:10:00,0
23:20:00,0
23:30:00,0
23:40:00,0
23:50:00,0
0:00:00,0
0:10:00,0
0:20:00,0
0:30:00,0
0:40:00,0
0:50:00,0
1:00:00,0
1:10:00,0
1:20:00,0
1:30:00,0
1:40:00,0
1:50:00,0
2:00:00,0
2:10:00,0
2:20:00,0
2:30:00,0
2:40:00,0
2:50:00,0
3:00:00,0
3:10:00,0
3:20:00,0
3:30:00,0
3:40:00,0
3:50:00,0
4:00:00,0
4:10:00,0
4:20:00,0
4:30:00,0
4:40:00,0
4:50:00,0
5:00:00,0
5:10:00,0
5:20:00,0
5:30:00,0
5:40:00,0
5:50:00,0
6:00:00,0
6:10:00,0
6:20:00,0
6:30:00,0
6:40:00,0
6:50:00,0
7:00:00,0
7:10:00,0
7:20:00,0
7:30:00,0
7:40:00,0
7:50:00,0
8:00:00,0
8:10:00,0
8:20:00,0
8:30:00,0
8:40:00,0
8:50:00,0
9:00:00,0
9:10:00,0
9:20:00,0
9:30:00,0
9:40:00,0
9:50:00,0
10:00:00,0
10:10:00,0
10:20:00,0
10:30:00,0
10:40:00,0
10:50:00,0
11:00:00,0
11:10:00,0
11:20:00,0
11:30:00,0
11:40:00,0
11:50:00,0
12:00:00,0
12:10:00,0
12:20:00,0
12:30:00,0
12:40:00,0
12:50:00,0
13:00:00,0
13:10:00,0
13:20:00,0
13:30:00,0
13:40:00,0
13:50:00,0
14:00:00,0
14:10:00,0
14:20:00,0
14:30:00,0
14:40:00,0
14:50:00,0
15:00:00,0
15:10:00,0
15:20:00,0
15:30:00,0
15:40:00,0
15:50:00,0
16:00:00,0
16:10:00,0
16:20:00,0
16:30:00,0
16:40:00,0
16:50:00,0
17:00:00,0
17:10:00,0
17:20:00,0
17:30:00,0
17:40:00,0
17:50:00,0
18:00:00,0
18:10:00,0
18:20:00,0
18:30:00,0
18:40:00,0
18:50:00,0
19:00:00,0
19:10:00,0
19:20:00,0
19:30:00,0
19:40:00,0
19:50:00,0
20:00:00,0
20:10:00,0
20:20:00,0
20:30:00,0
20:40:00,0
20:50:00,0
21:00:00,0
21:10:00,0
21:20:00,0
21:30:00,0
21:40:00,0
21:50:00,0
22:00:00,0
22:10:00,0
22:20:00,0
22:30:00,0
22:40:00,0
22:50:00,0
23:00:00,0
23:10:00,0
23:20:00,0
23:30:00,0
23:40:00,0
23:50:00,0
0:00:00,0
0:10:00,0
0:20:00,0
0:30:00,0
0:40:00,0
0:50:00,0
1:00:00,0
1:10:00,0
1:20:00,0
1:30:00,0
1:40:00,0
1:50:00,0
2:00:00,0
2:10:00,0
2:20:00,0
2:30:00,0
2:40:00,0
2:50:00,0
3:00:00,0
3:10:00,0
3:20:00,0
3:30:00,0
3:40:00,0
3:50:00,0
4:00:00,0
4:10:00,0
4:20:00,0
4:30:00,0
4:40:00,0
4:50:00,0
5:00:00,0
5:10:00,0
5:20:00,0
5:30:00,0
5:40:00,0
5:50:00,0
6:00:00,0
6:10:00,0
6:20:00,0
6:30:00,0
6:40:00,0
6:50:00,0
7:00:00,0
7:10:00,0
7:20:00,0
7:30:00,0
7:40:00,0
7:50:00,0
8:00:00,0
8:10:00,0
8:20:00,0
8:30:00,0
8:40:00,0
8:50:00,0
9:00:00,0
9:10:00,0
9:20:00,0
9:30:00,0
9:40:00,0
9:50:00,0
10:00:00,0
10:10:00,0
10:20:00,0
10:30:00,0
10:40:00,0
10:50:00,0
11:00:00,0
