,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
21739,25-Mar-19,16:10:00,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
21749,25-Mar-19,16:20:00,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21759,25-Mar-19,16:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
21769,25-Mar-19,16:40:00,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21779,25-Mar-19,16:50:00,0,4,0,0,2,9,2,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,13,0,0,0,0
21789,25-Mar-19,17:00:00,15,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
21799,25-Mar-19,17:10:00,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21809,25-Mar-19,17:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21819,25-Mar-19,17:30:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21829,25-Mar-19,17:40:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21839,25-Mar-19,17:50:00,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21849,25-Mar-19,18:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
21859,25-Mar-19,18:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
21869,25-Mar-19,18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,2,0,0,0,0,0,0,0
21879,25-Mar-19,18:30:00,0,4,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0
21889,25-Mar-19,18:40:00,0,10,0,2,2,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21899,25-Mar-19,18:50:00,0,9,0,2,0,0,0,1,0,0,0,0,8,0,0,0,0,3,0,0,2,0,2,0,0,0,0,20,0,0,2,0
21909,25-Mar-19,19:00:00,0,5,0,0,8,10,0,0,0,0,0,0,18,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,2,0
21919,25-Mar-19,19:10:00,0,14,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,3,0,10,0,0,0,0,0,0,0,3,0
21929,25-Mar-19,19:20:00,0,2,0,0,17,0,0,0,0,6,0,0,4,33,0,4,0,0,0,0,8,0,1,0,3,0,0,15,0,0,0,0
21939,25-Mar-19,19:30:00,0,5,0,0,23,2,0,0,0,35,0,0,4,7,2,1,8,1,0,0,10,0,7,0,1,0,0,18,0,0,0,0
21949,25-Mar-19,19:40:00,0,19,0,0,15,24,0,0,0,37,0,0,10,4,0,0,7,0,0,2,14,0,10,0,0,0,0,16,0,0,11,0
21959,25-Mar-19,19:50:00,0,7,0,0,17,20,0,0,0,12,2,0,7,0,6,0,7,0,0,0,12,1,19,11,0,0,0,12,8,0,3,0
21969,25-Mar-19,20:00:00,9,13,6,0,10,12,0,0,0,12,2,0,9,0,18,14,6,0,0,0,5,2,10,0,2,0,0,0,1,0,6,0
21979,25-Mar-19,20:10:00,12,2,12,0,9,17,3,0,0,41,20,0,9,5,26,6,16,0,0,0,9,2,9,0,2,0,0,26,14,2,0,0
21989,25-Mar-19,20:20:00,24,2,13,4,18,15,0,3,0,25,26,0,9,9,20,8,11,3,0,4,2,10,24,0,15,0,8,18,31,0,2,0
21999,25-Mar-19,20:30:00,11,8,8,4,5,18,11,3,0,11,30,0,10,5,13,23,13,0,0,29,11,11,12,5,11,0,20,36,5,5,10,9
22009,25-Mar-19,20:40:00,22,8,6,4,7,11,15,11,6,11,24,0,10,2,19,26,8,0,0,21,15,19,17,17,5,0,23,17,7,22,17,5
22019,25-Mar-19,20:50:00,15,15,11,8,14,12,9,18,2,21,23,5,7,8,23,22,11,0,0,20,11,5,22,21,13,2,21,14,9,33,20,21
22029,25-Mar-19,21:00:00,16,28,5,10,15,8,15,21,12,9,25,3,17,12,24,26,10,1,0,21,10,18,30,12,12,4,15,27,8,21,18,26
22039,25-Mar-19,21:10:00,12,19,9,4,11,17,13,28,24,29,21,0,14,12,19,22,15,26,0,20,10,25,52,23,12,7,18,16,8,25,23,28
22049,25-Mar-19,21:20:00,22,13,11,7,18,13,20,27,21,9,27,9,16,14,17,27,12,14,0,21,12,13,15,21,28,25,23,14,13,18,19,21
22059,25-Mar-19,21:30:00,25,9,14,7,16,10,18,21,29,18,24,6,8,16,29,44,14,8,0,23,22,13,21,12,12,26,17,23,9,18,20,24
22069,25-Mar-19,21:40:00,17,15,14,13,22,14,17,27,38,25,24,8,16,14,18,25,10,29,0,17,9,22,24,21,17,27,18,25,8,17,18,23
22079,25-Mar-19,21:50:00,14,13,20,2,25,17,14,34,25,17,23,21,12,12,27,24,15,12,0,18,14,14,24,22,15,16,22,23,23,16,21,26
22089,25-Mar-19,22:00:00,27,13,20,15,15,29,29,33,29,22,40,21,19,25,20,25,24,31,0,36,17,34,29,18,21,25,29,30,28,34,23,33
22099,25-Mar-19,22:10:00,12,2,8,6,0,27,30,15,25,0,14,0,5,2,3,3,10,29,0,18,9,31,19,8,7,2,14,29,2,19,34,41
22109,25-Mar-19,22:20:00,2,0,0,0,0,21,6,2,10,0,0,0,2,0,0,0,6,26,0,0,14,0,6,4,4,0,2,8,0,0,21,3
22119,25-Mar-19,22:30:00,2,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,7,0,0,1,0,0,1,0,0,0,2,0,4,2,0
22129,25-Mar-19,22:40:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0
22139,25-Mar-19,22:50:00,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22149,25-Mar-19,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22159,25-Mar-19,23:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22169,25-Mar-19,23:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22179,25-Mar-19,23:30:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22189,25-Mar-19,23:40:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22199,25-Mar-19,23:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
22209,26-Mar-19,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22219,26-Mar-19,0:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
22229,26-Mar-19,0:20:00,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22239,26-Mar-19,0:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22249,26-Mar-19,0:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22259,26-Mar-19,0:50:00,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22269,26-Mar-19,1:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0
22279,26-Mar-19,1:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
22289,26-Mar-19,1:20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22299,26-Mar-19,1:30:00,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22309,26-Mar-19,1:40:00,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22319,26-Mar-19,1:50:00,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,3,0,0,2,0
22329,26-Mar-19,2:00:00,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
22339,26-Mar-19,2:10:00,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22349,26-Mar-19,2:20:00,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22359,26-Mar-19,2:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
22369,26-Mar-19,2:40:00,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
22379,26-Mar-19,2:50:00,0,0,0,9,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0
22389,26-Mar-19,3:00:00,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
22399,26-Mar-19,3:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0
22409,26-Mar-19,3:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0
22419,26-Mar-19,3:30:00,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
22429,26-Mar-19,3:40:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
22439,26-Mar-19,3:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22449,26-Mar-19,4:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22459,26-Mar-19,4:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22469,26-Mar-19,4:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
22479,26-Mar-19,4:30:00,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1
22489,26-Mar-19,4:40:00,0,0,0,20,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
