track,original_slice,T_frame,X_pixel,Y_pixel,Z_slice,T_s,X_microns,Y_microns,Z_microns,speed,velocity,speed_2D
1.0,1874.0,69.0,163.0,82.0,11.0,432.63,17.767,8.938,16.5,0.0,0.0,0.0
1.0,1901.0,70.0,148.0,94.0,11.0,438.9,16.132,10.246,16.5,0.33394284300487076,-0.33394284300487076,0.33394284300487076
1.0,1928.0,71.0,126.0,105.0,11.0,445.16999999999996,13.734,11.445,16.5,0.42759896411838105,-0.42759896411838105,0.42759896411838105
1.0,1955.0,72.0,121.0,122.0,11.0,451.43999999999994,13.189,13.298,16.5,0.3080518215290206,-0.3080518215290206,0.3080518215290206
2.0,2552.0,94.0,174.0,78.0,14.0,589.38,18.966,8.502,21.0,1.3961069228433187,1.3961069228433187,1.197504255708519
2.0,2578.0,95.0,160.0,108.0,13.0,595.65,17.44,11.772,19.5,0.6232673660681253,-0.6232673660681253,0.5755250538883274
2.0,2605.0,96.0,144.0,129.0,13.0,601.92,15.696,14.061,19.5,0.4589605382093798,-0.4589605382093798,0.4589605382093798
2.0,2632.0,97.0,138.0,141.0,13.0,608.1899999999999,15.042,15.369,19.5,0.23323579861002589,-0.23323579861002589,0.23323579861002589
2.0,2659.0,98.0,144.0,141.0,13.0,614.4599999999999,15.696,15.369,19.5,0.10430622009569378,0.10430622009569378,0.10430622009569378
2.0,2630.0,97.0,128.0,149.0,11.0,608.1899999999999,13.952,16.241,16.5,0.570650252327817,-0.570650252327817,0.31098106481336785
2.0,2657.0,98.0,132.0,147.0,11.0,614.4599999999999,14.388,16.023,16.5,0.07774526620334196,0.07774526620334196,0.07774526620334196
2.0,2657.0,98.0,132.0,145.0,11.0,614.4599999999999,14.388,15.805,16.5,0.03476874003189792,0.03476874003189792,0.03476874003189792
2.0,2684.0,99.0,128.0,149.0,11.0,620.7299999999999,13.952,16.241,16.5,0.0983408473994688,-0.0983408473994688,0.0983408473994688
2.0,2711.0,100.0,131.0,146.0,11.0,627.0,14.279,15.914,16.5,0.0737556355496016,0.0737556355496016,0.0737556355496016
2.0,2738.0,101.0,104.0,165.0,11.0,633.27,11.336,17.985,16.5,0.5739475496315439,-0.5739475496315439,0.5739475496315439
2.0,2765.0,102.0,81.0,187.0,11.0,639.54,8.829,20.383,16.5,0.5533038342741661,-0.5533038342741661,0.5533038342741661
2.0,2792.0,103.0,56.0,206.0,11.0,645.81,6.104,22.454,16.5,0.5458802912356386,-0.5458802912356386,0.5458802912356386
2.0,2793.0,103.0,52.0,208.0,12.0,645.81,5.668,22.672,18.0,0.25155009117343763,-0.25155009117343763,0.07774526620334196
2.0,2820.0,104.0,22.0,219.0,12.0,652.0799999999999,2.398,23.871,18.0,0.5554843504450014,-0.5554843504450014,0.5554843504450014
2.0,2847.0,105.0,11.0,222.0,12.0,658.3499999999999,1.199,24.198,18.0,0.19821231473015327,-0.19821231473015327,0.19821231473015327
2.0,2874.0,106.0,69.0,193.0,12.0,664.62,7.521,21.037,18.0,1.1273063599484587,1.1273063599484587,1.1273063599484587
2.0,2899.0,107.0,105.0,165.0,10.0,670.89,11.445,17.985,15.0,0.9260358714328025,0.9260358714328025,0.7928492589206126
2.0,2926.0,108.0,96.0,167.0,10.0,677.16,10.464,18.203,15.0,0.16027597222407092,-0.16027597222407092,0.16027597222407092
2.0,2953.0,109.0,73.0,177.0,10.0,683.43,7.957,19.293,15.0,0.4359977818929205,-0.4359977818929205,0.4359977818929205
2.0,2980.0,110.0,32.0,196.0,10.0,689.6999999999999,3.488,21.364,15.0,0.7855735020853304,-0.7855735020853304,0.7855735020853304
3.0,4442.0,164.0,152.0,74.0,14.0,1028.28,16.568,8.066,21.0,3.125033230391402,3.125033230391402,2.974912223883781
3.0,4469.0,165.0,133.0,92.0,14.0,1034.55,14.497,10.028,21.0,0.45499250519456536,-0.45499250519456536,0.45499250519456536
3.0,4496.0,166.0,116.0,119.0,14.0,1040.82,12.644,12.971,21.0,0.5546676614214596,-0.5546676614214596,0.5546676614214596
3.0,4522.0,167.0,103.0,143.0,13.0,1047.09,11.227,15.587,19.5,0.5313984201958528,-0.5313984201958528,0.4745009578855578
3.0,4550.0,168.0,91.0,168.0,14.0,1053.36,9.919,18.312,21.0,0.5381797772929439,-0.5381797772929439,0.4820833441789359
3.0,4577.0,169.0,69.0,195.0,14.0,1059.6299999999999,7.521,21.255,21.0,0.6054654384791743,-0.6054654384791743,0.6054654384791743
3.0,4604.0,170.0,52.0,213.0,14.0,1065.8999999999999,5.668,23.217,21.0,0.4304167802048658,-0.4304167802048658,0.4304167802048658
3.0,4631.0,171.0,11.0,223.0,14.0,1072.1699999999998,1.199,24.307,21.0,0.7336533700845304,-0.7336533700845304,0.7336533700845304
5.0,5334.0,197.0,170.0,58.0,15.0,1235.1899999999998,18.53,6.322,22.5,3.9906645141601764,3.9906645141601764,3.983487183690308
5.0,5361.0,198.0,153.0,83.0,15.0,1241.4599999999998,16.677,9.047,22.5,0.5255718002882223,-0.5255718002882223,0.5255718002882223
5.0,5388.0,199.0,133.0,98.0,15.0,1247.73,14.497,10.682,22.5,0.43460925039872406,-0.43460925039872406,0.43460925039872406
5.0,5415.0,200.0,117.0,108.0,15.0,1254.0,12.753,11.772,22.5,0.3280076374463061,-0.3280076374463061,0.3280076374463061
5.0,5442.0,201.0,114.0,117.0,15.0,1260.27,12.426,12.753,22.5,0.16492261481260925,-0.16492261481260925,0.16492261481260925
5.0,5469.0,202.0,114.0,113.0,15.0,1266.54,12.426,12.317,22.5,0.06953748006379584,0.06953748006379584,0.06953748006379584
5.0,5496.0,203.0,112.0,124.0,15.0,1272.81,12.208,13.516,22.5,0.19436316550835492,-0.19436316550835492,0.19436316550835492
5.0,5523.0,204.0,113.0,132.0,15.0,1279.08,12.317,14.388,22.5,0.1401572718603735,-0.1401572718603735,0.1401572718603735
5.0,5550.0,205.0,106.0,153.0,15.0,1285.35,11.554,16.677,22.5,0.3848194345627549,-0.3848194345627549,0.3848194345627549
5.0,5577.0,206.0,96.0,171.0,15.0,1291.62,10.464,18.639,22.5,0.3579660878365496,-0.3579660878365496,0.3579660878365496
5.0,5604.0,207.0,93.0,178.0,15.0,1297.8899999999999,10.137,19.402,22.5,0.1323954176298513,-0.1323954176298513,0.1323954176298513
5.0,5631.0,208.0,93.0,178.0,15.0,1304.1599999999999,10.137,19.402,22.5,0.0,0.0,0.0
5.0,5658.0,209.0,90.0,182.0,15.0,1310.4299999999998,9.81,19.838,22.5,0.08692185007974482,-0.08692185007974482,0.08692185007974482
5.0,5685.0,210.0,79.0,193.0,15.0,1316.6999999999998,8.611,21.037,22.5,0.270437330348539,-0.270437330348539,0.270437330348539
5.0,5712.0,211.0,76.0,192.0,15.0,1322.9699999999998,8.284,20.928,22.5,0.054974204937536325,-0.054974204937536325,0.054974204937536325
5.0,5739.0,212.0,77.0,195.0,15.0,1329.24,8.393,21.255,22.5,0.05497420493753615,-0.05497420493753615,0.05497420493753615
5.0,5766.0,213.0,69.0,200.0,15.0,1335.51,7.521,21.8,22.5,0.16400381872315334,-0.16400381872315334,0.16400381872315334
5.0,5793.0,214.0,54.0,210.0,15.0,1341.78,5.886,22.89,22.5,0.31340118742071355,-0.31340118742071355,0.31340118742071355
5.0,5820.0,215.0,39.0,217.0,15.0,1348.05,4.251,23.653,22.5,0.2877625269441636,-0.2877625269441636,0.2877625269441636
5.0,5847.0,216.0,30.0,227.0,15.0,1354.32,3.27,24.743,22.5,0.2338827784897982,-0.2338827784897982,0.2338827784897982
5.0,5874.0,217.0,25.0,226.0,15.0,1360.59,2.725,24.634,22.5,0.08864324194284101,-0.08864324194284101,0.08864324194284101
6.0,5658.0,209.0,176.0,75.0,15.0,1310.4299999999998,19.184,8.175,22.5,3.712366989329948,3.712366989329948,3.712366989329948
6.0,5685.0,210.0,148.0,95.0,15.0,1316.6999999999998,16.132,10.355,22.5,0.598184021759264,-0.598184021759264,0.598184021759264
6.0,5712.0,211.0,135.0,98.0,15.0,1322.9699999999998,14.715,10.682,22.5,0.2319364247192619,-0.2319364247192619,0.2319364247192619
6.0,5739.0,212.0,132.0,103.0,15.0,1329.24,14.388,11.227,22.5,0.10136742528518944,-0.10136742528518944,0.10136742528518944
6.0,5766.0,213.0,120.0,107.0,15.0,1335.51,13.08,11.663,22.5,0.21989681975014566,-0.21989681975014566,0.21989681975014566
6.0,5793.0,214.0,109.0,116.0,15.0,1341.78,11.881,12.644,22.5,0.24707832121007284,-0.24707832121007284,0.24707832121007284
6.0,5820.0,215.0,106.0,124.0,15.0,1348.05,11.554,13.516,22.5,0.14853212252625372,-0.14853212252625372,0.14853212252625372
6.0,5847.0,216.0,109.0,122.0,15.0,1354.32,11.881,13.298,22.5,0.06268023748414271,0.06268023748414271,0.06268023748414271
6.0,5874.0,217.0,109.0,118.0,15.0,1360.59,11.881,12.862,22.5,0.06953748006379584,0.06953748006379584,0.06953748006379584
6.0,5901.0,218.0,110.0,117.0,15.0,1366.86,11.99,12.753,22.5,0.0245852118498672,0.0245852118498672,0.0245852118498672
6.0,5928.0,219.0,114.0,118.0,15.0,1373.1299999999999,12.426,12.862,22.5,0.07167759381057814,0.07167759381057814,0.07167759381057814
6.0,5955.0,220.0,114.0,115.0,15.0,1379.3999999999999,12.426,12.535,22.5,0.05215311004784689,0.05215311004784689,0.05215311004784689
6.0,5981.0,221.0,116.0,115.0,14.0,1385.6699999999998,12.644,12.535,21.0,0.24174777607196715,0.24174777607196715,0.03476874003189792
6.0,6009.0,222.0,110.0,124.0,15.0,1391.9399999999998,11.99,13.516,22.5,0.30429004500961415,-0.30429004500961415,0.18804071245242815
6.0,6036.0,223.0,109.0,121.0,15.0,1398.2099999999998,11.881,13.189,22.5,0.054974204937536415,0.054974204937536415,0.054974204937536415
6.0,6063.0,224.0,110.0,130.0,15.0,1404.48,11.99,14.17,22.5,0.15742216587830596,-0.15742216587830596,0.15742216587830596
6.0,6090.0,225.0,108.0,140.0,15.0,1410.75,11.772,15.26,22.5,0.17728648388568213,-0.17728648388568213,0.17728648388568213
6.0,6117.0,226.0,114.0,114.0,15.0,1417.02,12.426,12.426,22.5,0.46387284943852325,0.46387284943852325,0.46387284943852325
6.0,6144.0,227.0,119.0,108.0,15.0,1423.29,12.971,11.772,22.5,0.13577627028290676,0.13577627028290676,0.13577627028290676
6.0,6171.0,228.0,122.0,101.0,15.0,1429.56,13.298,11.009,22.5,0.13239541762985102,0.13239541762985102,0.13239541762985102
6.0,6198.0,229.0,119.0,105.0,15.0,1435.83,12.971,11.445,22.5,0.08692185007974482,-0.08692185007974482,0.08692185007974482
6.0,6225.0,230.0,139.0,83.0,15.0,1442.1,15.151,9.047,22.5,0.5168744795718395,0.5168744795718395,0.5168744795718395
6.0,6253.0,231.0,155.0,71.0,16.0,1448.37,16.895,7.739,24.0,0.42204223756977977,0.42204223756977977,0.3476874003189793
6.0,6280.0,232.0,168.0,54.0,16.0,1454.6399999999999,18.312,5.886,24.0,0.37204176506133413,0.37204176506133413,0.37204176506133413
6.0,6307.0,233.0,163.0,55.0,16.0,1460.9099999999999,17.767,5.995,24.0,0.08864324194284134,-0.08864324194284134,0.08864324194284134
6.0,6334.0,234.0,165.0,58.0,16.0,1467.1799999999998,17.985,6.322,24.0,0.06268023748414271,-0.06268023748414271,0.06268023748414271
6.0,6361.0,235.0,165.0,60.0,16.0,1473.4499999999998,17.985,6.54,24.0,0.03476874003189792,-0.03476874003189792,0.03476874003189792
6.0,6388.0,236.0,165.0,65.0,16.0,1479.7199999999998,17.985,7.085,24.0,0.08692185007974482,-0.08692185007974482,0.08692185007974482
6.0,6415.0,237.0,165.0,60.0,16.0,1485.99,17.985,6.54,24.0,0.08692185007974482,0.08692185007974482,0.08692185007974482
7.0,5632.0,208.0,182.0,82.0,16.0,1304.1599999999999,19.838,8.938,24.0,0.48333551081847076,0.48333551081847076,0.48333551081847076
7.0,5659.0,209.0,170.0,77.0,16.0,1310.4299999999998,18.53,8.393,24.0,0.2259968102073365,-0.2259968102073365,0.2259968102073365
7.0,5686.0,210.0,151.0,91.0,16.0,1316.6999999999998,16.459,9.919,24.0,0.41028586462885136,-0.41028586462885136,0.41028586462885136
7.0,5713.0,211.0,132.0,110.0,16.0,1322.9699999999998,14.388,11.99,24.0,0.46711902514747683,-0.46711902514747683,0.46711902514747683
7.0,5712.0,211.0,138.0,99.0,15.0,1322.9699999999998,15.042,10.791,22.5,0.32354456312231555,0.32354456312231555,0.21782553196003857
7.0,5739.0,212.0,134.0,103.0,15.0,1329.24,14.606,11.227,22.5,0.0983408473994688,-0.0983408473994688,0.0983408473994688
7.0,5766.0,213.0,121.0,108.0,15.0,1335.51,13.189,11.772,22.5,0.24213625553637463,-0.24213625553637463,0.24213625553637463
7.0,5793.0,214.0,111.0,118.0,15.0,1341.78,12.099,12.862,22.5,0.245852118498672,-0.245852118498672,0.245852118498672
7.0,5820.0,215.0,108.0,123.0,15.0,1348.05,11.772,13.407,22.5,0.10136742528518944,-0.10136742528518944,0.10136742528518944
7.0,5847.0,216.0,110.0,122.0,15.0,1354.32,11.99,13.298,22.5,0.03887263310167098,0.03887263310167098,0.03887263310167098
8.0,6389.0,236.0,196.0,84.0,17.0,1479.7199999999998,21.364,9.156,25.5,1.7030927056786855,1.7030927056786855,1.634500619861186
8.0,6471.0,239.0,158.0,94.0,18.0,1498.53,17.222,10.246,27.0,0.7237783647961142,-0.7237783647961142,0.6830973571860754
8.0,6498.0,240.0,147.0,104.0,18.0,1504.8,16.023,11.336,27.0,0.25843723978592,-0.25843723978592,0.25843723978592
8.0,6523.0,241.0,139.0,113.0,16.0,1511.07,15.151,12.317,24.0,0.5222584171966994,-0.5222584171966994,0.20933553573977035
8.0,6550.0,242.0,125.0,118.0,16.0,1517.34,13.625,12.862,24.0,0.25843723978591976,-0.25843723978591976,0.25843723978591976
8.0,6576.0,243.0,113.0,130.0,15.0,1523.61,12.317,14.17,22.5,0.37983078121388053,-0.37983078121388053,0.2950225421984064
8.0,6602.0,244.0,111.0,135.0,14.0,1529.8799999999999,12.099,14.715,21.0,0.2568995820491493,-0.2568995820491493,0.09361769760409265
8.0,6629.0,245.0,102.0,139.0,14.0,1536.1499999999999,11.118,15.151,21.0,0.17121618826088922,-0.17121618826088922,0.17121618826088922
8.0,6656.0,246.0,84.0,153.0,14.0,1542.4199999999998,9.156,16.677,21.0,0.3964246294603063,-0.3964246294603063,0.3964246294603063
8.0,6683.0,247.0,74.0,161.0,14.0,1548.6899999999998,8.066,17.549,21.0,0.22262856200324735,-0.22262856200324735,0.22262856200324735
8.0,6711.0,248.0,73.0,168.0,15.0,1554.9599999999998,7.957,18.312,22.5,0.26896828436621967,-0.26896828436621967,0.1229260592493363
8.0,6738.0,249.0,76.0,172.0,15.0,1561.2299999999998,8.284,18.748,22.5,0.0869218500797449,-0.0869218500797449,0.0869218500797449
8.0,6765.0,250.0,74.0,166.0,15.0,1567.5,8.066,18.094,22.5,0.10994840987507283,0.10994840987507283,0.10994840987507283
8.0,6792.0,251.0,74.0,173.0,15.0,1573.77,8.066,18.857,22.5,0.12169059011164245,-0.12169059011164245,0.12169059011164245
8.0,6820.0,252.0,43.0,201.0,16.0,1580.04,4.687,21.909,24.0,0.7645917877129427,-0.7645917877129427,0.7262007159771583
8.0,6847.0,253.0,39.0,195.0,16.0,1586.31,4.251,21.255,24.0,0.12536047496828542,0.12536047496828542,0.12536047496828542
8.0,6874.0,254.0,22.0,199.0,16.0,1592.58,2.398,21.691,24.0,0.30360497008396414,-0.30360497008396414,0.30360497008396414
9.0,6066.0,224.0,191.0,68.0,18.0,1404.48,20.819,7.412,27.0,3.74791503502657,3.74791503502657,3.7172482593941547
9.0,6092.0,225.0,186.0,71.0,17.0,1410.75,20.274,7.739,25.5,0.2598239343503302,-0.2598239343503302,0.10136742528518917
9.0,6091.0,225.0,179.0,93.0,16.0,1410.75,19.511,10.137,24.0,0.46724128773701723,-0.46724128773701723,0.4013493478427614
9.0,6118.0,226.0,158.0,110.0,16.0,1417.02,17.222,11.99,24.0,0.4696998128821644,-0.4696998128821644,0.4696998128821644
9.0,6145.0,227.0,142.0,124.0,16.0,1423.29,15.478,13.516,24.0,0.3695967762641395,-0.3695967762641395,0.3695967762641395
9.0,6171.0,228.0,143.0,127.0,15.0,1429.56,15.587,13.843,22.5,0.24546951982038526,-0.24546951982038526,0.054974204937536415
9.0,6198.0,229.0,152.0,111.0,15.0,1435.83,16.568,12.099,22.5,0.3191346112958142,0.3191346112958142,0.3191346112958142
9.0,6226.0,230.0,173.0,97.0,16.0,1442.1,18.857,10.573,24.0,0.4997448532348222,0.4997448532348222,0.4387616623889987
9.0,6253.0,231.0,179.0,91.0,16.0,1448.37,19.511,9.919,24.0,0.1475112710992032,0.1475112710992032,0.1475112710992032
9.0,6280.0,232.0,182.0,89.0,16.0,1454.6399999999999,19.838,9.701,24.0,0.06268023748414295,0.06268023748414295,0.06268023748414295
9.0,6307.0,233.0,177.0,89.0,16.0,1460.9099999999999,19.293,9.701,24.0,0.0869218500797451,-0.0869218500797451,0.0869218500797451
9.0,6335.0,234.0,181.0,76.0,17.0,1467.1799999999998,19.729,8.284,25.5,0.3363675687545545,0.3363675687545545,0.23645299608487452
9.0,6279.0,232.0,185.0,86.0,15.0,1454.6399999999999,20.165,9.374,22.5,0.5137991640982986,-0.5137991640982986,0.1872353952081853
9.0,6307.0,233.0,178.0,89.0,16.0,1460.9099999999999,19.402,9.701,24.0,0.2734258008340084,-0.2734258008340084,0.13239541762985077
9.0,6333.0,234.0,167.0,85.0,15.0,1467.1799999999998,18.203,9.265,22.5,0.314064894423082,-0.314064894423082,0.20347883417359502
9.0,6360.0,235.0,154.0,94.0,15.0,1473.4499999999998,16.786,10.246,22.5,0.2748710246876818,-0.2748710246876818,0.2748710246876818
9.0,6388.0,236.0,176.0,86.0,16.0,1479.7199999999998,19.184,9.374,24.0,0.47206743774477533,0.47206743774477533,0.4069576683471895
